2000,4,10,2,20,S,0,31,0,1,0,0
2001,4,10,2,20,S,0,35,1,0,0,1
2002,4,10,2,20,U,0,41
2003,4,10,2,20,S,0,16,0,1,0,0
2004,4,10,2,20,S,0,32,1,0,0,0
2005,4,10,2,20,U,0,47
2006,4,10,2,20,S,0,5,0,0,0,0
2007,4,10,2,20,U,0,45
2008,4,10,2,20,S,0,6,0,0,0,0
2009,4,10,2,20,U,0,38
2010,8,16,2,32,U,0,799
2011,8,16,2,32,S,0,633,1,1,1,0,1,0,0,0
2012,8,16,2,32,S,0,111,0,0,1,0,0,0,1,0
2013,8,16,2,32,S,0,122,0,0,1,0,0,0,1,1
2014,8,16,2,32,U,0,744
2015,8,16,2,32,U,0,778
2016,8,16,2,32,S,0,355,0,1,1,1,1,0,0,1
2017,8,16,2,32,S,0,202,0,1,0,0,0,1,0,0
2018,8,16,2,32,U,0,799
2019,8,16,2,32,U,0,754
2020,12,24,2,48,U,0,13562
2021,12,24,2,48,S,0,2284,0,0,1,0,0,1,1,1,0,0,1,1
2022,12,24,2,48,U,0,13737
2023,12,24,2,48,U,0,14485
2024,12,24,2,48,S,0,8635,1,0,0,1,0,1,0,0,0,0,0,0
2025,12,24,2,48,U,0,14128
2026,12,24,2,48,U,0,14102
2027,12,24,2,48,S,0,4037,0,1,0,0,0,0,0,0,1,0,0,1
2028,12,24,2,48,S,0,1940,0,0,1,0,0,0,1,0,0,0,0,1
2029,12,24,2,48,U,0,14402
2030,16,32,2,64,U,0,259475
2031,16,32,2,64,U,0,256850
2032,16,32,2,64,U,0,248208
2033,16,32,2,64,S,0,19611,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
2034,16,32,2,64,U,0,261021
2035,16,32,2,64,U,0,257347
2036,16,32,2,64,S,0,52578,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
2037,16,32,2,64,U,0,262149
2038,16,32,2,64,U,0,336457
2039,16,32,2,64,U,0,258454
2040,18,36,2,72,U,0,1144806
2041,18,36,2,72,S,0,25135,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1
2042,18,36,2,72,U,0,1074355
2043,18,36,2,72,U,0,1114666
2044,18,36,2,72,U,0,1310077
2045,18,36,2,72,S,0,140540,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0
2046,18,36,2,72,S,0,234616,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1
2047,18,36,2,72,U,0,1376342
2048,18,36,2,72,U,0,1199965
2049,18,36,2,72,U,0,1134753
2050,20,40,2,80,U,0,4636005
2051,20,40,2,80,S,0,2452208,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1
2052,20,40,2,80,U,0,4728155
2053,20,40,2,80,U,0,4740348
2054,20,40,2,80,S,0,2239470,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0
2055,20,40,2,80,U,0,4417503
2056,20,40,2,80,U,0,4483392
2057,20,40,2,80,S,0,2664861,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1
2058,20,40,2,80,U,0,4745904
2059,20,40,2,80,S,0,185782,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
2060,22,44,2,88,U,0,20120960
2061,22,44,2,88,U,0,20168472
2062,22,44,2,88,U,0,19982092
2063,22,44,2,88,U,0,20629908
2064,22,44,2,88,U,0,20074520
2065,22,44,2,88,U,0,20517830
2066,22,44,2,88,U,0,20960321
2067,22,44,2,88,U,0,21050188
2068,22,44,2,88,U,0,19560744
2069,22,44,2,88,U,0,20248390
2070,24,48,2,96,U,0,86104211
2071,24,48,2,96,U,0,86052537
2072,24,48,2,96,U,0,87315319
2073,24,48,2,96,S,0,30781157,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0
2074,24,48,2,96,U,0,86241016
2075,24,48,2,96,U,0,87147606
2076,24,48,2,96,S,0,11850968,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
2077,24,48,2,96,S,0,47203514,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0
2078,24,48,2,96,U,0,91357683
2079,24,48,2,96,S,0,6065008,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1
2080,4,20,3,60,U,0,63
2081,4,20,3,60,S,0,34,1,0,0,1
2082,4,20,3,60,S,0,9,0,0,0,0
2083,4,20,3,60,S,0,20,0,1,0,0
2084,4,20,3,60,U,0,51
2085,4,20,3,60,S,0,12,0,0,0,1
2086,4,20,3,60,S,0,55,0,0,1,1
2087,4,20,3,60,U,0,61
2088,4,20,3,60,U,0,56
2089,4,20,3,60,S,0,23,0,1,0,0
2090,8,40,3,120,S,0,809,1,1,0,0,0,0,0,0
2091,8,40,3,120,U,0,1101
2092,8,40,3,120,U,0,1014
2093,8,40,3,120,S,0,558,0,1,1,0,0,1,0,1
2094,8,40,3,120,S,0,403,0,1,1,0,1,1,0,1
2095,8,40,3,120,S,0,131,0,0,0,1,1,0,1,0
2096,8,40,3,120,U,0,1181
2097,8,40,3,120,S,0,831,1,1,0,1,1,1,1,0
2098,8,40,3,120,U,0,925
2099,8,40,3,120,S,0,615,1,0,0,1,0,0,0,0
2100,12,60,3,180,U,0,20478
2101,12,60,3,180,U,0,18032
2102,12,60,3,180,U,0,21512
2103,12,60,3,180,S,0,5286,0,1,0,1,0,0,0,0,0,0,1,0
2104,12,60,3,180,S,0,9000,0,1,1,0,1,1,0,0,0,1,1,0
2105,12,60,3,180,S,0,10050,1,0,0,0,0,0,0,1,1,1,0,0
2106,12,60,3,180,U,0,23710
2107,12,60,3,180,U,0,18938
2108,12,60,3,180,U,0,20501
2109,12,60,3,180,S,0,11668,1,0,0,1,0,1,0,0,1,1,1,1
2110,16,80,3,240,U,0,361130
2111,16,80,3,240,S,0,356603,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
